RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ChurnProbability,ChurnProbabilityPct,RiskSegment
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.12132515982898805,12.13,Low Risk
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.6748432786120714,67.48,High Risk
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.06949588672181256,6.95,Low Risk
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.07363733100545249,7.36,Low Risk
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0817142687985752,8.17,Low Risk
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.5601114368045095,56.01,Medium Risk
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.19395543537937104,19.4,Low Risk
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.26304502202187185,26.3,Low Risk
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.03993890471392906,3.99,Low Risk
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.3916500895292272,39.17,Medium Risk
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.24254643553490926,24.25,Low Risk
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0.630137797800736,63.01,High Risk
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0.17271824347541012,17.27,Low Risk
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.7218980122641077,72.19,High Risk
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.2170911474803907,21.71,Low Risk
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0.3569021665669002,35.69,Medium Risk
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.11778662206858108,11.78,Low Risk
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.0692428424104164,6.92,Low Risk
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,0.7941775068503429,79.42,High Risk
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0.15803748119615743,15.8,Low Risk
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.0838277041575519,8.38,Low Risk
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.25992548798912873,25.99,Low Risk
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.14789737299810657,14.79,Low Risk
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.45878742003879824,45.88,Medium Risk
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.8377826747576533,83.78,High Risk
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0.541231130906453,54.12,Medium Risk
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.7160738075298922,71.61,High Risk
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.5437180042741075,54.37,Medium Risk
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.23303344566923126,23.3,Low Risk
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.540637818164149,54.06,Medium Risk
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,0.7005518170570533,70.06,High Risk
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0.44668059973552054,44.67,Medium Risk
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.3445243326579658,34.45,Medium Risk
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.47781061274672093,47.78,Medium Risk
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0.1691436591591364,16.91,Low Risk
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.08933386749394558,8.93,Low Risk
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.7404634337763245,74.05,High Risk
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,0.6684489591121593,66.84,High Risk
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0.45561215910607245,45.56,Medium Risk
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0.6547255714587813,65.47,High Risk
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0.17388153279922144,17.39,Low Risk
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,0.7801768571613316,78.02,High Risk
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.5742365014569621,57.42,Medium Risk
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0.45959398946050506,45.96,Medium Risk
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0.11998778325442025,12.0,Low Risk
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.13698643010222403,13.7,Low Risk
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.4205923492014257,42.06,Medium Risk
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0.21826821342950717,21.83,Low Risk
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,0.1779884833709181,17.8,Low Risk
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.5749613135747933,57.5,Medium Risk
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.3167002177161257,31.67,Medium Risk
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,0.14101585823307558,14.1,Low Risk
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0.26617720605372613,26.62,Low Risk
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,0.9213069192027514,92.13,High Risk
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,0.35529944928825413,35.53,Medium Risk
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0.22560348568513836,22.56,Low Risk
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0.11477804462725497,11.48,Low Risk
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,0.04306414107889187,4.31,Low Risk
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0.22465133072166754,22.47,Low Risk
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,0.1615923838987537,16.16,Low Risk
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,0.2557783639372484,25.58,Low Risk
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0.12181894758192292,12.18,Low Risk
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0.40044823064497337,40.04,Medium Risk
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0.18070309944128785,18.07,Low Risk
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,0.5354233230820232,53.54,Medium Risk
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,0.14485290398466996,14.49,Low Risk
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0.2237385508984371,22.37,Low Risk
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,0.3331436140085757,33.31,Medium Risk
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0.1636477886744431,16.36,Low Risk
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0.3878849269450249,38.79,Medium Risk
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,0.06172737846633536,6.17,Low Risk
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,0.8986625534138066,89.87,High Risk
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0.10135619403818637,10.14,Low Risk
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,0.8886285744333945,88.86,High Risk
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0.3465709068961707,34.66,Medium Risk
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,0.14642234095899667,14.64,Low Risk
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,0.03367626807698284,3.37,Low Risk
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0.09485417546470995,9.49,Low Risk
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0.18813017464911064,18.81,Low Risk
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0.16023072271093092,16.02,Low Risk
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0.13484438844865143,13.48,Low Risk
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0.05339913729305498,5.34,Low Risk
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0,0.12116180257616624,12.12,Low Risk
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,0.49286293827360284,49.29,Medium Risk
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,0.3321016491682974,33.21,Medium Risk
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0.2374678325020129,23.75,Low Risk
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0.068817149723353,6.88,Low Risk
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,0.29505634009803783,29.51,Low Risk
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,0.5239739416134035,52.4,Medium Risk
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0.15357937636257718,15.36,Low Risk
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0.4590862589693076,45.91,Medium Risk
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0.2649922673326381,26.5,Low Risk
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0.5642739416897397,56.43,Medium Risk
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0.16795003474984108,16.8,Low Risk
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0.26906317292376747,26.91,Low Risk
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0.4521728931705415,45.22,Medium Risk
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0.1098307496073668,10.98,Low Risk
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,0.3070543206448475,30.71,Medium Risk
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0.12791968558235317,12.79,Low Risk
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0.336361758563882,33.64,Medium Risk
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0,0.17336530569145825,17.34,Low Risk
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,0.6663146118594965,66.63,High Risk
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,0.12868267743573988,12.87,Low Risk
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0.14107139281200065,14.11,Low Risk
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,0.27030454162599477,27.03,Low Risk
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0,0.1576229602059461,15.76,Low Risk
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0.6382775216003662,63.83,High Risk
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0,0.3538920934582026,35.39,Medium Risk
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,0.6572173318196918,65.72,High Risk
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,0.7990054327513626,79.9,High Risk
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,0.9340778819370301,93.41,High Risk
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0,0.2891804348018112,28.92,Low Risk
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0.2107199917089878,21.07,Low Risk
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0,0.06804113317457909,6.8,Low Risk
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0.5352586214818348,53.53,Medium Risk
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0.21861320217792066,21.86,Low Risk
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0,0.06215603168553689,6.22,Low Risk
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0.19952928380915708,19.95,Low Risk
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0.5152510264702429,51.53,Medium Risk
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0.21415765487773034,21.42,Low Risk
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0.2830536152469025,28.31,Low Risk
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0.7242718766504964,72.43,High Risk
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,0.3916463595505563,39.16,Medium Risk
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0.7260868410036723,72.61,High Risk
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0,0.0327302841755178,3.27,Low Risk
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0.359956191535608,36.0,Medium Risk
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,0.9189388566806709,91.89,High Risk
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0.47422394971047066,47.42,Medium Risk
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0.16507785958501728,16.51,Low Risk
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0.26321141920950547,26.32,Low Risk
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,0.2712181423392041,27.12,Low Risk
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,0.6019930373012954,60.2,High Risk
150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0,0.15180923865010906,15.18,Low Risk
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0.07285043659382846,7.29,Low Risk
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1,0.8831352082041123,88.31,High Risk
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0.15128792424205137,15.13,Low Risk
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,0.2245972960269404,22.46,Low Risk
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0,0.2266930014607604,22.67,Low Risk
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,0.9040183027892689,90.4,High Risk
157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0,0.0815453812317902,8.15,Low Risk
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0.1146616284610784,11.47,Low Risk
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0.20179507652646236,20.18,Low Risk
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,0.5990209928551885,59.9,Medium Risk
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0.13908568664876556,13.91,Low Risk
162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0,0.0665584201154424,6.66,Low Risk
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,0.7095029748752566,70.95,High Risk
164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0.09736175263778439,9.74,Low Risk
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,0.42487590668991726,42.49,Medium Risk
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0.14477466378451442,14.48,Low Risk
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,0.5036160939034217,50.36,Medium Risk
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0.45363513242034276,45.36,Medium Risk
169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,0.2528416962252434,25.28,Low Risk
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,0.10796270181225336,10.8,Low Risk
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0.315595339165861,31.56,Medium Risk
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,0.15639241050463465,15.64,Low Risk
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,0.8597170342128457,85.97,High Risk
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,0.25623904417472443,25.62,Low Risk
175,15625524,Rowe,512,France,Male,40,5,0.0,2,1,1,146457.83,0,0.066031542775228,6.6,Low Risk
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,0.1964650819354762,19.65,Low Risk
177,15645248,Ho,510,France,Female,30,0,0.0,2,1,1,130553.47,0,0.10834748150060032,10.83,Low Risk
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,0.16936310727477277,16.94,Low Risk
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,0.2561370546740014,25.61,Low Risk
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,0.8999115866863088,89.99,High Risk
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,0.3853964544522991,38.54,Medium Risk
182,15789669,Hsia,510,France,Male,65,2,0.0,2,1,1,48071.61,0,0.17028906278088843,17.03,Low Risk
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0.4536559465886519,45.37,Medium Risk
184,15810845,T'ang,636,France,Male,42,2,0.0,2,1,1,55470.78,0,0.09315383318143117,9.32,Low Risk
185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1,0.7720763380638722,77.21,High Risk
186,15654506,Chang,514,France,Male,32,8,0.0,2,1,0,95857.18,0,0.07291588659621594,7.29,Low Risk
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,0.37667906367288256,37.67,Medium Risk
188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,0.4509620901472178,45.1,Medium Risk
189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,0.038886019838630013,3.89,Low Risk
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0.2623423349350762,26.23,Low Risk
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,0.45398095311144604,45.4,Medium Risk
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,0.22487188689003587,22.49,Low Risk
193,15756850,Golovanov,479,France,Male,40,1,0.0,2,0,0,114996.43,0,0.13155719459774892,13.16,Low Risk
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,0.20986980246561587,20.99,Low Risk
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,0.1379665913692663,13.8,Low Risk
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0,0.17508224869176078,17.51,Low Risk
197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,0.0969586355743796,9.7,Low Risk
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,0.4688126814142273,46.88,Medium Risk
199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0,0.24483696551770426,24.48,Low Risk
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,0.2316653695790048,23.17,Low Risk
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,0.11767554238030535,11.77,Low Risk
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,0.31913206078548223,31.91,Medium Risk
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,0.6903282707816468,69.03,High Risk
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,0.3939164182947242,39.39,Medium Risk
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,0.3334723394600513,33.35,Medium Risk
206,15773039,Ku,550,France,Male,37,3,0.0,1,1,1,179670.31,0,0.4236516946480535,42.37,Medium Risk
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,0.5979378976351867,59.79,Medium Risk
208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,0.1568673271654666,15.69,Low Risk
209,15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,142513.5,1,0.7923733002446124,79.24,High Risk
210,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0.4628289205762881,46.28,Medium Risk
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,0.1027652156525821,10.28,Low Risk
212,15624592,Tan,603,France,Male,31,8,0.0,2,1,1,169915.02,0,0.03173366811210889,3.17,Low Risk
213,15573152,Glassman,620,France,Female,41,9,0.0,2,0,0,88852.47,0,0.2490900091674272,24.91,Low Risk
214,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,0.21093583035661603,21.09,Low Risk
215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,0.21341509672899298,21.34,Low Risk
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,0.761413757361382,76.14,High Risk
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,0.7001685619700327,70.02,High Risk
218,15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,0.09516410308783517,9.52,Low Risk
219,15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1,0.24145423294020948,24.15,Low Risk
220,15774854,Fuller,592,France,Male,54,8,0.0,1,1,1,28737.71,1,0.6402386778744501,64.02,High Risk
221,15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0,0.14357288847462762,14.36,Low Risk
222,15787155,Yang,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,0.28271472523428615,28.27,Low Risk
223,15727829,McIntyre,567,France,Male,42,2,0.0,2,1,1,167984.61,0,0.0840870344603347,8.41,Low Risk
224,15733247,Stevenson,850,France,Male,33,10,0.0,1,1,0,4861.72,1,0.34386216635653444,34.39,Medium Risk
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,0.7672568204463961,76.73,High Risk
226,15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0,0.2435659936659413,24.36,Low Risk
227,15774393,Ch'ien,694,France,Female,30,9,0.0,2,1,1,26960.31,0,0.0952470665874139,9.52,Low Risk
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,0.8787751904810661,87.88,High Risk
229,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,0.922689782736385,92.27,High Risk
230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,0.588148039709053,58.81,Medium Risk
